loan_amnt,int_rate,installment,home_ownership,annual_inc,verification_status,loan_status,dti,delinq_2yrs,inq_last_6mths,open_acc,pub_rec,revol_bal,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,last_pymnt_amnt,collections_12_mths_ex_med,application_type,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_inq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,hardship_flag,debt_settlement_flag
12000,0.0646,367.57,RENT,84000.0,Not Verified,0,9.54,0,1,8,0,12748,19,w,11392.43,11392.43,726.53,726.53,607.57,118.96,0.0,367.57,1,Individual,301,22480,1,1,0,1,23.0,9732,64.0,1,1,10693,30.0,60700,0,4,1,2,2810.0,15307.0,41.1,0,162.0,196,0,0,3,182.0,0.0,0,1,4,1,4,4,7,12,4,8,0,1,100.0,0.0,0,0,75990,22480,26000,15290,N,N
2400,0.1131,78.93,MORTGAGE,65000.0,Not Verified,0,6.09,0,2,12,1,1990,24,f,2286.85,2048.64,154.09,138.04,113.15,40.94,0.0,78.93,0,Individual,0,52894,4,2,1,1,4.0,50904,95.0,4,10,383,34.0,18400,1,1,2,11,4408.0,11851.0,5.9,0,116.0,204,2,2,1,6.0,1.0,0,2,6,4,7,6,10,17,6,12,0,5,100.0,0.0,1,0,62363,52894,12600,43963,N,N
40000,0.1131,1315.43,MORTGAGE,98000.0,Source Verified,0,15.83,1,1,15,0,27063,34,w,37158.09,37158.09,3921.16,3921.16,2841.91,1079.25,0.0,1315.43,0,Individual,0,286917,2,2,1,1,5.0,9378,78.0,1,2,3939,67.0,42400,0,0,1,3,19128.0,5545.0,78.4,0,148.0,176,1,1,2,13.0,1.0,1,8,12,8,13,11,12,20,12,15,1,2,94.1,87.5,0,0,338619,36441,25700,12080,N,N
32000,0.2631,963.98,MORTGAGE,70000.0,Verified,0,25.8,1,0,9,0,4070,20,w,31195.48,31195.48,2845.17,2845.17,804.52,2040.65,0.0,963.98,0,Joint App,0,289143,0,2,1,1,12.0,41101,69.0,0,0,1870,66.0,7300,0,0,2,1,41306.0,430.0,81.3,0,148.0,224,43,12,1,60.0,3.0,0,1,3,4,8,4,6,15,3,9,0,1,85.0,50.0,0,0,329746,45171,2300,67446,N,N
8500,0.0646,260.37,RENT,60000.0,Source Verified,0,23.98,0,0,13,0,10219,20,w,8069.62,8069.62,531.42,531.42,430.38,101.04,0.0,260.37,0,Individual,0,77728,1,3,0,2,15.0,67509,72.0,1,2,5880,54.0,35600,2,1,0,4,5979.0,15581.0,49.1,0,64.0,87,2,2,0,2.0,15.0,0,3,3,5,6,8,9,11,3,13,0,1,94.7,0.0,0,0,117942,77728,25800,79074,N,N
4200,0.1072,136.95,RENT,84000.0,Not Verified,0,14.1,0,1,11,1,3628,33,f,4000.25,3738.33,271.4,253.63,199.75,71.65,0.0,136.95,0,Individual,0,43043,3,4,4,6,3.0,39415,100.0,1,4,298,67.0,24600,2,8,2,10,3913.0,1202.0,19.9,0,124.0,172,12,3,4,24.0,2.0,0,1,4,1,6,14,7,15,4,11,0,5,100.0,0.0,1,0,64059,43043,1500,39459,N,N
10000,0.25,293.52,OWN,38000.0,Not Verified,0,18.6,0,3,11,0,2567,15,w,9914.81,9914.81,279.63,279.63,85.19,194.44,0.0,293.52,0,Individual,0,27391,1,4,1,1,10.0,24824,108.0,2,7,1139,23.0,11150,1,1,2,8,2490.0,1975.0,30.0,0,141.0,159,1,1,1,1.0,2.0,0,2,7,3,3,6,7,8,5,11,0,3,100.0,0.0,0,0,34090,27391,3950,22940,N,N
23000,0.0819,722.76,RENT,57500.0,Source Verified,0,19.14,0,0,10,1,4621,26,w,21864.57,21864.57,1435.06,1435.06,1135.43,299.63,0.0,722.76,0,Individual,0,16658,1,2,0,2,14.0,12037,46.0,1,3,2821,23.0,47300,1,2,2,5,1666.0,28682.0,10.6,0,83.0,100,6,6,0,6.0,7.0,0,3,4,5,8,10,8,16,4,10,0,1,100.0,20.0,1,0,73527,16658,32100,26227,N,N
20000,0.1356,460.82,MORTGAGE,102000.0,Source Verified,0,9.05,0,0,5,0,4289,12,w,19527.71,19527.71,906.57,906.57,472.29,434.28,0.0,460.82,0,Individual,0,145717,0,2,0,2,13.0,31935,68.0,0,0,3192,67.0,7300,4,0,4,2,29143.0,3011.0,58.8,0,162.0,149,26,13,2,26.0,3.0,0,2,2,2,3,7,2,3,2,5,0,0,75.0,0.0,0,0,210421,36224,7300,47121,N,N
13500,0.1131,443.96,MORTGAGE,62000.0,Verified,0,30.47,0,0,12,0,1455,44,w,12863.57,12863.57,870.96,870.96,636.43,234.53,0.0,443.96,0,Joint App,155,353382,3,5,3,3,2.0,217058,98.0,1,2,846,64.0,14100,3,5,3,5,32126.0,8954.0,8.6,0,171.0,189,5,2,1,19.0,2.0,0,1,2,3,4,34,6,9,2,12,0,4,90.5,0.0,0,0,410468,218513,9800,248831,N,N
