Year,GDP,POPULATION,EMPLOYMENT_RATIO,REAL_DISPOSABLE_INCOME,CORPORATE_PROFITS_AFTER_TAX,FOREIGN_DIRECT_INVESTMENTS_IN_US,INF_CONSUMER_PRICES,INEREST_RATE,ALL_TRANSACTION_HOUSE_PRICE_INDEX,MARKET_YIELD_US_TREASURY
1960,5.433E+11,180760.1667,56.1,2287.4,31.96775,315,1.457975986,3.211748634,,
1961,5.633E+11,183742.25,55.4,2367.8,31.7015,311,1.070724148,1.949671233,,
1962,6.051E+11,186590.5,55.5,2483.0,35.90825,346,1.198773348,2.71030137,,3.946064257
1963,6.386E+11,189299.5833,55.4,2576.7,38.92525,231,1.239669421,3.178739726,,4.001566265
1964,6.858E+11,191927,55.7,2759.5,44.873,322,1.278911565,3.496092896,,4.18736
1965,7.437E+11,194346.5,56.2,2931.0,53.34175,414,1.585169264,4.076767123,,4.283694779
1966,8.15E+11,196599.25,56.9,3087.0,58.152,426,3.015075377,5.114356164,,4.92504
1967,8.617E+11,198751.5833,57.3,3222.3,56.61175,698,2.772785623,4.216438356,,5.072650602
1968,9.425E+11,200745.3333,57.5,3368.9,60.74225,808,4.271796153,5.661885246,,5.64436
1969,1.0199E+12,202735.8333,58.0,3482.9,59.6945,1263,5.4623862,8.21430137,,6.672741935
1970,1.0733E+12,205088.8333,57.4,3643.8,54.99975,1464,5.838255338,7.17090411,,7.35432
1971,1.16485E+12,207691.75,56.6,3812.6,64.46275,367,4.292766688,4.667945205,,6.160883534
1972,1.27911E+12,209924.0833,57.0,3996.0,76.7745,950,3.272278247,4.437131148,,6.20604
1973,1.42538E+12,211938.6667,57.8,4244.0,100.4985,2800,6.177760064,8.742273973,,6.848104839
1974,1.54524E+12,213898.25,57.8,4197.1,114.29175,4761,11.0548048,10.51139726,,7.562409639
1975,1.6849E+12,215981,56.1,4300.3,108.50875,2603,9.143146865,5.821178082,61.11,7.993935743
1976,1.87341E+12,218086.25,56.8,4437.5,136.796,4346,5.744812635,5.045081967,65.5225,7.61272
1977,2.08183E+12,220289.0833,57.9,4577.3,159.989,3729,6.501683995,5.54230137,73.4375,7.417630522
1978,2.3516E+12,222628.9167,59.3,4786.1,192.55775,7897,7.630963839,7.936876712,83.7425,8.408387097
1979,2.62733E+12,225106.1667,59.9,4879.4,220.40475,11878,11.25447113,11.20279452,95.1375,9.432943548
1980,2.85731E+12,227725.8333,59.2,4914.5,207.27375,16918,13.54920197,13.34972678,102.665,11.43344
1981,3.20704E+12,230008.5,59.0,5034.3,206.30975,25196,10.33471534,16.38635616,107.235,13.92136546
1982,3.34379E+12,232218.3333,57.8,5145.4,181.0335,12634,6.131427,12.23767123,108.4325,13.00550201
1983,3.63404E+12,234332.6667,57.9,5322.8,197.46825,10371,3.212435233,9.090273973,116.2325,11.103
1984,4.03761E+12,236394.25,59.5,5688.1,216.76325,24467,4.300535475,10.22508197,121.445,12.45811245
1985,4.33898E+12,238506.0833,60.1,5859.3,208.03925,19746,3.545644152,8.099671233,127.65,10.61979839
