LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,default.payment.next.month
1.00E+05,2,1,2,36,1,-1,-1,-2,-2,0,780,0,0,0,780,0,0,7600,0,0
120000,2,2,2,25,3,3,2,2,2,87057,84821,85194,76326,75122,0,2700,2500,3200,2500,1
150000,2,1,1,49,-1,-1,-2,-1,-1,850,0,0,31106,0,0,0,31106,0,1505,1
1.00E+05,2,3,1,24,1,2,0,0,0,56341,54869,67965,73871,79707,0,14130,7065,7065,7065,1
30000,1,2,2,24,2,0,0,0,2,25851,26912,27535,29175,28625,1779,1402,2042,0,2192,1
160000,2,2,2,45,-2,-2,-2,-2,-2,2057,2147,1945,1934,2045,2147,1945,1934,2056,1938,0
120000,2,3,1,48,-2,-2,-2,-2,-2,2468,7869,506,2097,758,7890,506,2097,758,2005,0
160000,2,1,2,40,-1,0,0,-2,-2,67925,69771,73233,72328,74234,3509,5824,0,2204,2000,0
340000,2,1,1,35,1,-1,-1,-1,-2,-8,1722,1684,-15,-15,1730,1692,0,0,3031,1
240000,1,3,1,55,0,0,0,0,0,25631,27047,26654,28065,29503,2500,2000,2000,2000,3000,0
30000,2,3,1,42,1,2,0,0,0,30607,29849,30653,28410,29068,10,2000,2000,2000,2000,0
50000,1,2,1,54,0,0,0,2,0,47872,48802,50214,19321,19867,2000,2456,0,1000,1000,0
2.00E+05,1,2,2,25,1,-2,-2,-1,0,0,0,0,1517,48669,0,0,1517,48000,1775,1
80000,2,2,2,44,0,0,0,-1,-1,17047,11885,8254,5144,15365,1435,1350,5144,15365,2250,0
50000,2,2,2,41,2,2,2,2,2,5025,4805,46295,46885,47535,0,42000,1600,1500,2000,1
130000,2,2,1,29,0,0,0,0,0,18157,16520,15709,13209,14166,2000,1010,1003,2040,2000,0
290000,1,1,1,57,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,1
30000,2,3,1,44,0,0,0,0,0,27631,29179,30146,26371,27567,2000,1500,933,2000,3000,1
340000,1,3,1,40,0,0,0,0,0,77181,59873,60396,63720,65211,5305,3000,5000,3000,5000,0
180000,2,1,2,28,-1,-1,-1,-1,0,651,1883,651,2688,1000,1883,651,2688,20,2253,0
60000,2,1,2,23,0,0,2,0,0,59423,63347,61183,29052,29087,5500,146,1500,1200,1500,0
390000,2,1,2,25,-1,0,0,0,0,83514,79730,64171,58767,54224,4013,4000,2100,2000,3000,0
460000,1,1,1,35,0,0,0,0,0,384919,393029,394483,338220,347753,15045,16017,13000,15000,15025,0
5.00E+05,1,1,1,51,0,0,0,0,0,396402,395484,333041,294173,300616,14034,15040,12018,15028,10038,0
30000,2,2,1,44,-1,2,2,2,2,8347,9560,9258,11096,11165,1500,0,2000,392,0,0
80000,2,2,2,25,1,2,2,2,2,28789,31026,31401,31986,32468,2998,1183,1400,1139,0,0
250000,2,2,1,41,-1,-1,-1,-1,-2,37137,51803,4997,0,0,51811,9544,0,0,0,0
280000,2,1,2,26,0,0,0,0,0,146130,120750,105492,104061,105202,5042,4000,4000,4000,4368,0
30000,2,2,2,26,2,2,2,2,2,25615,29849,31034,28071,29978,5000,2000,0,2500,0,1
30000,1,1,2,28,2,0,0,0,0,22329,23665,47968,24784,25784,2000,1400,2000,1000,1000,1
20000,1,2,2,27,1,3,2,2,2,19443,18851,19248,18648,20040,0,1000,0,2000,0,1
380000,2,3,1,56,-2,-2,-2,-2,-2,0,1349,5947,16735,6444,1349,5957,16735,6444,0,1
1.00E+05,2,3,1,29,4,3,2,0,0,175441,153992,132132,114431,116766,0,0,0,2335,102075,1
180000,1,2,2,32,-1,-1,-1,-1,-1,1071,1671,1981,4241,4542,1671,1981,4241,4542,5261,1
80000,2,1,2,25,0,0,0,0,0,3409,4489,5345,5454,5598,1144,1000,109,144,0,0
220000,1,1,2,31,0,0,0,0,0,163148,158197,158956,157953,157098,5725,5971,5846,5887,5802,0
170000,2,2,2,26,0,0,0,0,0,141476,143850,134502,122186,122506,5113,4514,4376,4432,4142,0
140000,2,1,2,29,2,2,2,2,2,97905,100152,100772,101562,103214,4700,3200,3500,3193,0,1
20000,1,1,2,29,2,2,3,2,2,10512,12044,11562,11080,11700,2000,0,0,800,1000,1
1.00E+05,2,3,1,38,0,0,0,0,0,62427,63922,65864,66578,69503,2500,3000,2400,4000,4000,0
50000,2,3,1,47,0,0,0,0,0,32516,32774,33597,29105,26154,1870,1693,1106,1473,3000,0
3.00E+05,2,2,2,30,-1,-1,-1,-1,2,2186,0,290,707,161,0,290,1209,0,7705,0
30000,2,3,2,25,0,0,0,0,2,26769,27138,28122,29139,28534,1500,1447,3000,0,2300,0
50000,1,3,1,53,0,0,0,0,0,49696,50893,50532,19632,18573,2000,2000,1000,763,626,0
160000,1,2,2,37,-1,-1,0,0,0,3090,52125,26325,29638,35474,52165,5000,7000,8000,5000,0
80000,1,2,2,27,0,0,0,0,2,45920,47186,46882,49170,48269,5013,5000,4000,0,2002,0
140000,2,2,1,28,0,0,0,0,0,132070,134766,106450,106422,104337,6000,4000,4000,4000,4300,0
20000,1,2,2,23,1,2,0,0,0,19403,18541,19254,19456,19323,0,1298,1000,692,766,1
50000,1,3,1,51,-1,-1,-1,-1,-1,17453,7802,22214,4985,6551,8338,22232,4985,6551,5000,0
2.00E+05,2,1,2,34,1,-2,-2,-1,2,0,0,0,347,197,0,0,347,0,2720,1
80000,2,2,1,23,-2,-2,-2,-2,-2,780,0,390,390,390,0,390,390,390,540,1
80000,2,2,2,27,1,2,2,0,0,81635,83465,81472,82332,84067,3716,0,2989,3105,2973,0
210000,2,1,2,39,-1,-1,-1,-1,-2,6000,0,2880,0,0,0,2880,0,0,0,0
260000,1,2,1,28,0,0,0,-1,-1,26303,9408,5082,7732,1379,5030,2025,7770,1385,0,0
2.00E+05,1,2,1,46,1,-1,-1,-1,-1,0,552,2523,2327,2308,552,2531,2327,2308,0,1
110000,2,2,1,33,2,2,2,2,2,110327,112130,108533,112475,108976,5332,0,7800,0,4428,1
10000,1,2,2,23,0,0,0,0,2,5857,6722,8305,9405,9100,1117,1700,1230,0,761,0
2.00E+05,1,1,2,30,0,0,2,0,0,91936,94698,77034,64886,71957,7500,0,1500,10000,2000,0
3.00E+05,1,1,2,31,-1,-1,-1,-1,-1,360,360,360,360,980,360,360,360,980,360,1
360000,2,1,1,39,-1,-1,-1,-1,-2,7001,1224,394,-6,-6,1224,394,6,0,2205,0
290000,2,2,1,32,0,0,0,0,0,78200,79726,80890,81615,75661,3700,3600,3000,3000,3000,0
30000,1,3,1,26,1,2,0,0,0,30814,29551,24034,21155,18413,0,1500,1150,900,0,1
3.00E+05,1,1,1,47,-2,-2,-2,-2,-1,0,225,4019,4509,7155,225,4019,3860,5000,5778,0
3.00E+05,2,1,2,28,-1,-1,-1,-1,-1,986,2939,27754,10534,1954,2964,27968,10597,1954,2140,0
210000,2,3,2,45,-2,-2,-1,-1,-2,316,312,2368,316,316,312,2376,316,316,316,0
50000,1,3,1,36,0,0,0,0,0,74969,76012,77330,70579,63751,2846,2671,2396,2177,2146,1
340000,2,1,2,26,0,0,0,0,0,337871,311076,156674,129651,126192,11208,5000,23809,4136,3600,0
330000,1,1,1,34,0,0,0,0,0,138009,141253,130567,128257,116988,7015,7000,10007,6500,6600,1
220000,2,1,2,28,0,0,0,0,0,44109,32978,30415,28038,25669,5000,13500,14000,13500,13500,0
1.00E+05,2,2,2,30,0,0,0,0,-2,23939,23572,24148,0,0,1500,1011,0,0,0,0
260000,1,1,2,30,-1,-1,-1,-1,-1,399,399,399,399,399,399,399,399,399,399,1
180000,1,2,2,30,-1,-1,-1,-1,-1,440,30404,0,880,150,30404,0,880,150,430,0
2.00E+05,1,2,1,44,-1,-1,2,0,0,780,390,1170,780,0,390,780,0,0,390,0
110000,2,3,2,41,0,0,0,0,0,90599,60949,62235,63499,64877,2213,2300,2300,2400,2431,1
20000,1,2,2,48,0,0,0,2,0,7186,9063,10909,10440,10803,2000,2000,0,680,1000,1
60000,1,1,2,25,0,0,0,0,0,13123,14403,16150,17870,19571,1500,2000,2000,2000,2000,0
30000,1,3,1,28,2,2,2,2,2,23848,23873,24182,26022,27462,700,1000,2550,2013,1108,1
30000,2,1,2,24,2,2,2,0,0,31202,32801,30092,30148,30222,2415,0,1045,915,1063,1
420000,2,1,1,37,-1,-1,-1,-1,-1,38386,316,9894,13811,12141,316,9894,13811,12141,11820,1
340000,1,1,1,34,-1,-1,-1,-1,2,332,332,332,142202,139245,332,332,142402,6,20032,1
270000,1,2,1,38,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
360000,2,4,2,36,-2,-2,-1,0,0,15019,1221,6909,5954,4160,2074,7039,10,1,4,0
230000,2,1,2,25,-1,-1,-1,-1,-1,736,645,855,0,590,645,855,0,590,0,0
50000,2,2,1,33,0,0,0,0,0,47327,48765,49149,44073,40260,2200,1518,1414,1432,1300,0
230000,2,1,2,28,-2,-2,-2,-2,-2,-5,2148,2932,354,200,2153,2932,354,200,0,0
