LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,default.payment.next.month
20000,2,2,1,24,2,2,-1,-1,-2,3913,3102,689,0,0,0,689,0,0,0,1
120000,2,2,2,26,-1,2,0,0,0,2682,1725,2682,3272,3455,0,1000,1000,1000,0,1
90000,2,2,2,34,0,0,0,0,0,29239,14027,13559,14331,14948,1518,1500,1000,1000,1000,0
50000,2,2,1,37,0,0,0,0,0,46990,48233,49291,28314,28959,2000,2019,1200,1100,1069,0
1.00E+05,2,2,2,23,0,-1,-1,0,0,11876,380,601,221,-159,380,601,0,581,1687,0
140000,2,3,1,28,0,0,2,0,0,11285,14096,12108,12211,11793,3329,0,432,1000,1000,0
20000,1,3,2,35,-2,-2,-2,-2,-1,0,0,0,0,13007,0,0,0,13007,1122,0
2.00E+05,2,1,1,35,2,0,0,0,0,195441,192803,304997,188504,189527,8597,8583,6880,7235,6839,1
220000,2,1,1,32,1,2,2,2,2,202792,198157,211340,209612,219064,0,16501,3200,13000,7500,0
160000,2,2,2,30,-1,-1,-1,-1,-1,584,4572,7379,669,21381,4572,7379,669,21581,0,0
2.00E+05,2,2,2,29,0,0,0,0,0,180016,166678,128324,128334,131104,6073,6100,5000,5000,5000,0
60000,2,2,1,45,0,-1,-1,0,0,56965,2495,57899,30345,30244,3000,61000,3000,3000,3000,0
60000,2,3,1,33,0,0,0,0,0,57561,57766,49351,28549,29063,2100,3000,1500,1500,1100,0
380000,1,1,1,36,-1,-1,-1,-1,-1,28057,14266,22101,24038,41215,14412,22211,24159,41417,35184,0
240000,1,1,1,38,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,690,0
70000,2,2,2,30,0,0,0,0,0,19758,8960,9949,10298,10511,1162,1151,500,513,424,0
180000,2,3,1,33,-1,0,0,0,0,170126,171247,156803,159342,10400,5950,7133,7369,600,20650,0
150000,2,2,2,42,-1,-1,-1,-2,-1,2800,67568,0,0,6674,67568,0,0,6674,0,0
140000,1,1,2,34,2,2,2,2,2,124640,131032,132065,129307,131154,9900,4700,800,4012,9800,1
2.00E+05,1,2,2,25,0,0,0,0,0,107001,108619,110149,110333,85201,5000,5000,5000,3000,5000,1
130000,2,1,2,24,2,0,0,0,0,126874,129837,131332,97878,99594,6500,5400,3446,3561,4000,1
180000,2,2,1,30,0,0,0,0,0,4747,4221,9065,5016,5931,1200,5000,1000,1000,1000,0
50000,2,2,2,30,-1,-1,-1,-1,-1,4166,2859,1452,1190,543,2859,1452,1190,543,920,0
80000,2,2,2,24,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
40000,2,2,1,23,2,3,2,2,2,31772,30983,33168,33527,32854,0,3000,1200,0,1641,0
210000,2,1,1,36,-2,-2,-2,-2,-2,167,0,0,0,0,0,0,0,0,0,0
150000,2,1,2,29,-1,-1,-1,0,-1,560,290,549,204,16048,390,649,145,16048,0,0
280000,2,1,2,62,2,2,2,2,2,2500,2500,2500,2500,2500,0,0,0,0,0,1
1.00E+05,1,2,2,28,0,0,0,0,-2,180765,64653,10388,3762,1434,3018,1400,3786,1774,12714,0
1.00E+05,1,2,1,33,2,0,0,0,0,66393,67827,69202,70153,71468,3100,3100,2700,2600,2650,1
50000,1,3,2,23,2,0,0,0,0,11744,10935,11664,10872,9392,1507,1500,300,500,500,1
150000,2,3,1,25,0,0,0,0,0,29823,25968,24823,22908,19325,1630,7000,5000,3000,257,0
20000,1,1,2,40,0,0,0,0,0,20324,18509,20076,20035,14057,1500,20000,909,1000,0,0
270000,2,1,1,50,-1,-1,-1,-1,-1,1363,0,6098,3500,7324,0,6098,3500,7324,9466,0
20000,2,2,1,28,2,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,0,1
50000,2,1,2,28,2,0,0,0,0,34018,35165,36076,37478,38173,2000,1800,2000,1000,1000,1
250000,1,2,1,53,0,0,2,0,0,177537,198017,192962,156134,161603,25000,0,7000,8000,8000,0
80000,2,1,2,33,0,0,0,0,0,60156,60309,30640,15917,35608,5027,3000,3000,20000,767,0
4.00E+05,1,2,1,40,7,6,5,4,3,405366,397754,389903,384981,381863,0,0,0,106,2281,1
50000,1,1,2,35,1,2,0,0,0,20579,19948,19521,19247,19816,4,2000,807,1000,1000,0
50000,2,2,1,53,-1,-1,-1,-1,-1,7061,2229,10939,12575,1341,2233,10939,12575,1341,998,0
50000,2,1,1,34,0,0,0,0,2,49135,49209,36372,30305,29742,1971,2000,3342,0,1400,0
280000,2,2,1,44,0,0,0,0,0,286706,272243,203744,203520,207878,10480,8041,7200,7500,7093,0
240000,2,1,2,29,-1,-1,-1,-1,-1,59,548,208,0,44,548,208,0,44,0,1
30000,2,2,1,27,2,2,2,2,0,19193,20084,20460,19836,20266,1500,1000,0,900,1800,1
250000,1,1,2,29,-1,-1,-1,-1,-1,520,2047,1155,3582,580,2047,1155,3582,580,1398,0
150000,2,1,3,55,-1,-1,-1,-1,-1,280,280,759,754,480,280,759,754,480,0,0
60000,2,2,2,23,0,0,0,0,0,28406,28781,29219,29036,29493,1790,1760,1200,1500,1367,0
50000,1,2,1,35,1,-1,-1,-1,-2,0,1118,667,0,0,1118,673,0,0,0,0
160000,1,2,1,33,0,0,0,0,2,102292,105536,110390,122358,120714,4500,6200,15000,0,5000,0
1.00E+05,1,2,1,44,0,0,2,0,0,11119,12376,4419,2946,1473,3000,0,0,0,3230,0
70000,1,1,2,31,0,0,0,2,0,67270,67807,70410,68248,47910,3400,4602,63,1800,1731,0
2.00E+05,2,2,2,35,-1,-1,-1,-1,-2,1709,2400,675,0,0,2400,675,0,0,0,0
5.00E+05,2,1,2,51,-1,-1,-1,-1,-1,187,369,535,-13,20807,370,537,0,20911,21001,0
180000,2,1,2,28,1,2,2,0,0,3775,5570,4722,8643,7783,2005,31,5000,1000,5000,0
30000,1,1,2,31,0,0,0,0,0,28398,18550,13198,13222,14620,2081,1196,1000,2000,3000,0
360000,1,1,1,51,0,0,0,0,0,353200,337593,341528,350949,355869,13806,12303,15005,13729,7700,0
150000,1,1,2,36,0,0,0,0,0,95716,96181,99933,102278,104710,3226,4959,5000,2790,5083,0
80000,1,2,2,26,2,0,0,0,0,81268,78311,79915,81371,79916,3450,3508,3405,3359,3108,1
150000,2,1,2,25,0,0,0,-1,-1,25484,26726,27810,172,0,1726,1810,172,0,0,0
230000,1,2,1,50,-2,-2,-2,-2,-2,21570,4700,0,0,0,4700,0,0,0,0,0
1.00E+05,2,2,2,36,-1,-1,-2,-2,-2,14891,-709,-1813,-2011,1751,0,0,0,3989,946,0
60000,2,3,1,36,1,2,2,2,0,57285,61118,61947,60353,4980,5336,2550,16,0,0,1
50000,1,1,2,23,0,0,0,0,0,29772,17515,10483,4697,4793,1229,1000,94,96,98,0
20000,1,2,2,22,3,2,2,2,0,12553,14551,15016,14480,15093,2500,1000,0,1000,2400,1
290000,2,1,2,30,-1,-1,-1,-1,-1,560,463,100,0,100,463,100,0,100,0,0
110000,1,1,2,29,0,0,0,0,0,109241,109833,108778,74692,77912,5209,3009,1494,3220,2004,0
50000,2,2,2,22,0,0,0,0,0,22458,22571,22309,22315,22934,1513,1500,1000,978,839,0
230000,2,2,1,43,2,2,2,0,0,222819,232264,227054,196356,199525,14300,158,7100,7400,7500,1
50000,1,2,2,30,2,2,2,2,2,200,200,200,200,-200,0,0,0,0,200,1
150000,2,2,2,26,0,0,-1,-1,-2,9189,4359,4880,0,0,2000,4880,0,0,2250,0
20000,1,2,1,40,-1,-1,-1,-1,-1,836,836,390,390,390,836,390,390,390,390,1
90000,2,3,1,45,1,2,0,0,0,83760,80136,76823,47008,32358,0,3365,2051,1200,1500,1
60000,2,1,2,26,-2,-2,-2,-2,-2,0,-108,-216,-324,-432,108,108,108,108,108,0
80000,1,1,2,26,0,0,0,0,0,67229,24772,20000,20000,20000,2089,6000,200,0,0,0
280000,1,2,1,25,-1,-1,0,0,0,3863,84601,67765,63628,60860,89295,2192,1899,1673,2125,0
230000,2,1,1,36,-2,-2,-2,-2,-2,3240,0,0,0,0,0,0,0,0,0,0
1.00E+05,2,3,2,58,0,0,0,0,0,43386,44686,45634,46576,47519,2000,2000,2000,2000,5000,0
80000,2,1,2,24,-1,-1,-1,-1,-1,390,1063,390,741,390,1063,390,741,390,765,0
60000,2,2,1,41,0,0,0,0,0,60255,58374,48442,53444,27705,2000,2500,1000,2400,1200,0
70000,1,2,1,35,0,0,0,0,0,70480,66646,69641,46458,50679,3237,4938,1693,5000,2200,0
110000,2,2,1,49,-2,-2,-2,-2,-2,115672,109892,67912,50994,40652,5085,2044,2026,2097,1011,0
60000,1,2,2,26,-1,-1,2,0,-1,1396,1653,392,502,962,1700,0,500,1000,0,0
110000,1,2,2,26,0,0,0,0,0,34949,35686,37086,37967,40551,1600,2000,1500,3200,0,0
120000,1,3,1,54,-1,3,2,-1,-1,632,632,316,316,316,0,0,316,316,316,0
280000,2,2,2,43,-1,2,2,-2,-2,4172,3560,-40,-40,8160,0,40,0,8200,657,0
50000,2,2,2,23,0,0,0,0,0,47598,40714,38124,19893,20314,2559,1969,684,713,672,0
20000,2,1,2,22,-1,-1,-1,-1,-1,2654,0,8369,433,1669,0,8369,433,1669,7800,0
240000,2,1,2,30,-1,-1,-1,-1,-1,498,-2,20517,0,11423,0,20519,0,11423,0,0
50000,1,2,2,22,0,0,0,0,0,22616,21415,20769,21339,19382,1668,1283,853,1000,758,0
2.00E+05,2,2,2,27,0,0,0,0,0,65489,41413,40400,25570,10060,4013,2684,5625,1020,3044,0
320000,1,2,2,28,0,0,0,0,0,11639,7508,5591,2371,4754,2552,2016,0,12,5036,0
20000,1,2,1,56,3,2,2,2,2,17740,17166,19148,18542,20122,0,2273,0,1882,0,1
50000,1,2,2,44,0,0,0,0,0,47505,48471,44301,19052,17569,2100,2100,800,1000,700,1
180000,1,2,1,41,-1,-1,-1,-1,-1,859,1811,1335,366,1811,1811,1335,366,1811,1828,1
80000,1,1,1,28,0,0,-2,-2,-2,78429,0,0,0,0,0,0,0,0,0,0
240000,2,2,1,48,-2,-2,-2,-2,-2,-5,-5,1056,-4,950,0,1061,0,954,158,1
260000,2,2,2,28,-1,-1,-1,-1,-1,500,10500,10500,10500,10500,10500,10500,10500,10500,10500,0
80000,2,1,1,40,1,-1,-1,-1,-1,0,1027,1273,174,-156,2054,1273,174,0,0,0
80000,1,2,1,40,0,0,0,0,0,64120,63656,63023,60237,60263,2438,3000,2100,2200,2400,1
1.00E+05,1,2,1,47,0,0,2,0,0,66539,71766,69111,64287,67838,7000,0,2500,5500,0,0
20000,1,2,1,64,-1,-1,-1,-1,-1,528,0,264,264,255,0,264,264,255,687,1
130000,2,2,2,31,0,0,0,0,0,97544,99208,102946,103750,105818,4000,5300,3700,3600,3700,0
120000,2,2,1,28,1,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0
90000,2,2,1,35,0,0,0,0,0,84681,81491,81003,68764,67957,3666,3914,2774,2620,2640,0
180000,2,2,2,25,-1,-1,-1,-1,-1,3231,12513,-628,4940,1740,15000,0,10000,6000,6000,0
80000,2,1,2,32,0,0,0,0,0,60542,61715,60582,61453,61858,3000,2100,2349,2200,2200,0
130000,1,2,1,45,-1,-1,-1,-1,-1,390,390,390,390,390,390,390,390,390,0,1
230000,2,1,2,26,-1,0,-1,-1,-1,17532,13033,2688,2688,2688,10000,2688,2688,2688,6393,0
